{'name': '蕃茄', 'local': '芙蕾雅全域', 'r_local': '芙蕾雅全域', 'price': '20个28G', 'level': '１', 'icon_url': 'http://images.17173.com/cg/images/item/122190650.gif', 'desc': '', 'ext_desc': ''}
{'name': '白菜', 'local': '梅布尔隘地(195.58)', 'r_local': '梅布尔隘地(195.58)', 'price': '20个41G', 'level': '３', 'icon_url': 'http://images.17173.com/cg/images/item/171746318.gif', 'desc': '', 'ext_desc': ''}
{'name': '芹菜', 'local': '芙蕾雅法兰域(498.56)芙蕾雅亚留特域(606.64)', 'r_local': '芙蕾雅亚留特域(606.64)', 'price': '20个48G', 'level': '４', 'icon_url': 'http://images.17173.com/cg/images/item/1743616187.gif', 'desc': '', 'ext_desc': ''}
{'name': '鸡肉', 'local': '法兰城北西海岸(436.44) 库鲁克斯哥拉尔域的(281.377)、(264.394)', 'r_local': '库鲁克斯哥拉尔域北城门口(275.389)', 'price': '20个48G', 'level': '４', 'icon_url': 'http://images.17173.com/cg/images/item/1321911519.gif', 'desc': '', 'ext_desc': ''}
{'name': '竹笋', 'local': '芙蕾雅法兰域(533.196)芙蕾雅亚留特域(529.41)', 'r_local': '芙蕾雅亚留特域(533.47)', 'price': '20个48G', 'level': '４', 'icon_url': 'http://images.17173.com/cg/images/item/144103518.gif', 'desc': '', 'ext_desc': ''}
{'name': '海苔', 'local': '芙蕾雅亚留特域(617.25)索奇亚奇利域(267.367)莎莲娜阿巴尼斯域(249.131) ', 'r_local': '芙蕾雅亚留特域(617.25)', 'price': '20个48G', 'level': '４', 'icon_url': 'http://images.17173.com/cg/images/item/1319679069.gif', 'desc': '', 'ext_desc': ''}
{'name': '竹荚鱼', 'local': '芙蕾雅伊尔域(608.308)芙蕾雅亚留特域(683.76)', 'r_local': '芙蕾雅亚留特域(683.76)', 'price': '20个48G', 'level': '４', 'icon_url': 'http://images.17173.com/cg/images/item/39746288.gif', 'desc': '', 'ext_desc': ''}
{'name': '牛肉', 'local': '芙蕾雅法兰域(460.134)索奇亚奇利域(215.225)、(226.217)库鲁克斯哥拉尔域(355.418)', 'r_local': '索奇亚奇利域(321.334) 索奇亚奇利域(330.390)盐同时索奇亚奇利域(365.355)胡椒同时 \r', 'price': '20个58G', 'level': '５', 'icon_url': 'http://images.17173.com/cg/images/item/33806397.gif', 'desc': '', 'ext_desc': ''}
{'name': '星鳗', 'local': '芙蕾雅维诺亚域(425.466)、 索奇亚奇利域(365.265) ', 'r_local': '芙蕾雅维诺亚域(398.459)', 'price': '20个58G', 'level': '５', 'icon_url': 'http://images.17173.com/cg/images/item/810590773.gif', 'desc': '', 'ext_desc': ''}
{'name': '生姜', 'local': '芙蕾雅法兰域(493.142)索奇亚加纳域(415.298)', 'r_local': '芙蕾雅法兰域(489.140)', 'price': '20个58G', 'level': '５', 'icon_url': 'http://images.17173.com/cg/images/item/907887930.gif', 'desc': '', 'ext_desc': ''}
{'name': '胡椒', 'local': '法兰城东方与番茄混点(510.284)(548.232) 奇利村东南的山间(369.351) 和牛肉混点(358.363) ', 'r_local': '索奇亚奇利域(365.354)与牛肉混点 \r', 'price': '20个58G', 'level': '５', 'icon_url': 'http://images.17173.com/cg/images/item/1104124717.gif', 'desc': '', 'ext_desc': ''}
{'name': '马玲薯', 'local': '杰诺瓦村西边的三叉路口(190. 470) 莎莲娜蒂娜域(391.404) ', 'r_local': '莎莲娜杰诺瓦域西门口(182.487)', 'price': '20个58G', 'level': '５', 'icon_url': 'http://images.17173.com/cg/images/item/156584475.gif', 'desc': '', 'ext_desc': ''}
{'name': '猪肉', 'local': '穿越维诺亚海底洞窟的平原(300.440)附近', 'r_local': '穿越维诺亚海底洞窟的平原(300.440)附近', 'price': '？', 'level': '５', 'icon_url': 'http://images.17173.com/cg/images/item/69388253.gif', 'desc': '', 'ext_desc': ''}
{'name': '芝麻娃娃', 'local': '梅布尔溢地的达贡瀑布(198.128)', 'r_local': '梅布尔溢地的达贡瀑布(198.128)', 'price': '1个?G', 'level': '５', 'icon_url': 'http://images.17173.com/cg/images/item/907670123.gif', 'desc': '', 'ext_desc': ''}
{'name': '大黑虾', 'local': '盖雷布伦森林(170.150)', 'r_local': '盖雷布伦森林(170.150)', 'price': '20个58G', 'level': '５', 'icon_url': 'http://images.17173.com/cg/images/item/700993664.gif', 'desc': '', 'ext_desc': ''}
{'name': '鲑鱼', 'local': '梅布尔隘地(202.161)', 'r_local': '梅布尔隘地(202.161)', 'price': '20个58G', 'level': '５', 'icon_url': 'http://images.17173.com/cg/images/item/743360238.gif', 'desc': '', 'ext_desc': ''}
{'name': '砂糖', 'local': '魔法大学(85.46)', 'r_local': '直接购买', 'price': '无法贩售', 'level': '６', 'icon_url': 'http://images.17173.com/cg/images/item/746890170.gif', 'desc': '', 'ext_desc': ''}
{'name': '米', 'local': '莎莲娜杰诺瓦域(286.512)索奇亚加纳域(626.304)库鲁克斯哥拉尔域(261.332)', 'r_local': '索奇亚加纳域(626.304)', 'price': '20个73G', 'level': '６', 'icon_url': 'http://images.17173.com/cg/images/item/751625150.gif', 'desc': '', 'ext_desc': ''}
{'name': '高级奶油', 'local': '莎莲娜杰诺瓦域(154.349)莎莲娜蒂娜域(380.345)', 'r_local': '莎莲娜杰诺瓦域往神殿路上(154.349)', 'price': '20个98G', 'level': '７', 'icon_url': 'http://images.17173.com/cg/images/item/929800798.gif', 'desc': '', 'ext_desc': ''}
{'name': '辣椒', 'local': '莎莲娜杰诺瓦域(309.447)莎莲娜蒂娜域(384.360)库鲁克斯哥拉尔域', 'r_local': '莎莲娜杰诺瓦域东面桥一带(309.447)', 'price': '20个98G', 'level': '７', 'icon_url': 'http://images.17173.com/cg/images/item/890802685.gif', 'desc': '', 'ext_desc': ''}
{'name': '咖哩块', 'local': '莎莲娜杰诺瓦域(265.430)莎莲娜蒂娜域(461.298)', 'r_local': '莎莲娜杰诺瓦域东门口(265.430)', 'price': '20个98G', 'level': '７', 'icon_url': 'http://images.17173.com/cg/images/item/928616991.gif', 'desc': '', 'ext_desc': ''}
{'name': '螃蟹', 'local': '莎莲娜杰诺瓦域(318.503)(355.490)莎莲娜蒂娜域(555.352)', 'r_local': '莎莲娜杰诺瓦域(318.503)', 'price': '20个147G', 'level': '８', 'icon_url': 'http://images.17173.com/cg/images/item/42684420.gif', 'desc': '', 'ext_desc': ''}
{'name': '霜降牛肉', 'local': '莎莲娜杰诺瓦域(115.320)莎莲娜蒂娜域(554.271)库鲁克斯哥拉尔域', 'r_local': '莎莲娜蒂娜域(554.271)', 'price': '20个147G', 'level': '８', 'icon_url': 'http://images.17173.com/cg/images/item/33806397.gif', 'desc': '', 'ext_desc': ''}
{'name': '阿巴尼斯哈蜜瓜', 'local': '魔法大学(90.77)', 'r_local': '魔法大学屋顶(90.77)', 'price': '20个147G', 'level': '８', 'icon_url': 'http://images.17173.com/cg/images/item/822924158.gif', 'desc': '', 'ext_desc': ''}
{'name': '伊势虾', 'local': '莎莲娜阿巴尼斯域(95.112)(278.121)库鲁克斯哥拉尔域', 'r_local': '库鲁克斯哥拉尔域', 'price': '20个297G', 'level': '９', 'icon_url': 'http://images.17173.com/cg/images/item/68069530.gif', 'desc': '', 'ext_desc': ''}
{'name': '海胆', 'local': '莎莲娜阿巴尼斯域(130.112)库鲁克斯哥拉尔域', 'r_local': '库鲁克斯哥拉尔域', 'price': '20个297G', 'level': '９', 'icon_url': 'http://images.17173.com/cg/images/item/818189178.gif', 'desc': '', 'ext_desc': ''}
{'name': '鱼翅', 'local': '莎莲娜阿巴尼斯域(320.123)、(43.183)', 'r_local': '莎莲娜阿巴尼斯域', 'price': '20个600G', 'level': '10', 'icon_url': 'http://images.17173.com/cg/images/item/856269340.gif', 'desc': '', 'ext_desc': ''}
{'name': '甲鱼', 'local': '莎莲娜阿巴尼斯域(67.135)库鲁克斯哥拉尔域', 'r_local': '库鲁克斯哥拉尔域', 'price': '20个600G', 'level': '10', 'icon_url': 'http://images.17173.com/cg/images/item/843095107.gif', 'desc': '', 'ext_desc': ''}
{'name': '高级蕃茄', 'local': '法兰城，贝蒂的家(231.102)里面的田', 'r_local': '药剂师职业就职任务物品', 'price': '每个2G', 'level': '１', 'icon_url': 'http://images.17173.com/cg/images/item/122190650.gif', 'desc': '', 'ext_desc': ''}
{'name': '蝙蝠', 'local': '法兰城，毕夫鲁的家(206.37)里面的厨房', 'r_local': '作用不明', 'price': '每个10G', 'level': '１', 'icon_url': 'http://images.17173.com/cg/images/item/2329649551.gif', 'desc': '', 'ext_desc': ''}
{'name': '传说的鹿皮', 'local': '芙蕾雅，伊尔村域(647.260)', 'r_local': '猎人职业就职任务物品', 'price': '20个28G', 'level': '１', 'icon_url': 'http://images.17173.com/cg/images/item/2794818079.gif', 'desc': '', 'ext_desc': ''}
{'name': '鹿皮', 'local': '芙蕾雅.伊尔村域(东596.247) 亚留特村域(630.173)推荐 ', 'r_local': '部份装备制作使用材料', 'price': '20个24G', 'level': '１', 'icon_url': 'http://images.17173.com/cg/images/item/2780595203.gif', 'desc': '', 'ext_desc': ''}
{'name': '恶玉A菌', 'local': '鲇鱼大王的胃袋鲇鱼大王的大肠', 'r_local': '相关任务：大鲇鱼王', 'price': '-', 'level': '２', 'icon_url': 'http://images.17173.com/cg/images/item/230386013.gif', 'desc': '说明：产生有毒瓦斯的细菌', 'ext_desc': ''}
{'name': '恶玉B菌', 'local': '鲇鱼大王的胃袋鲇鱼大王的大肠', 'r_local': '相关任务：大鲇鱼王', 'price': '-', 'level': '２', 'icon_url': 'http://images.17173.com/cg/images/item/569439994.gif', 'desc': '说明：放出恶臭的细菌', 'ext_desc': ''}
{'name': '恶玉C菌', 'local': '鲇鱼大王的胃袋鲇鱼大王的大肠', 'r_local': '相关任务：大鲇鱼王', 'price': '-', 'level': '２', 'icon_url': 'http://images.17173.com/cg/images/item/818189178.gif', 'desc': '说明：会令人痛不欲生的细菌', 'ext_desc': ''}
{'name': '恶玉菌首领A', 'local': '鲇鱼大王的小肠', 'r_local': '相关任务：大鲇鱼王', 'price': '-', 'level': '２', 'icon_url': 'http://images.17173.com/cg/images/item/3238952022.gif', 'desc': '说明：会放出臭气的恶玉菌首领', 'ext_desc': ''}
{'name': '恶玉菌首领B', 'local': '鲇鱼大王的小肠', 'r_local': '相关任务：大鲇鱼王', 'price': '-', 'level': '２', 'icon_url': 'http://images.17173.com/cg/images/item/3237768215.gif', 'desc': '说明：会产生激烈痛楚的恶玉菌首领', 'ext_desc': ''}
{'name': '恶玉菌首领C', 'local': '鲇鱼大王的小肠', 'r_local': '相关任务：大鲇鱼王', 'price': '-', 'level': '２', 'icon_url': 'http://images.17173.com/cg/images/item/3236719572.gif', 'desc': '说明：会让细胞腐烂的恶玉菌首领', 'ext_desc': ''}
{'name': '恶玉菌首领D', 'local': '鲇鱼大王的小肠', 'r_local': '相关任务：大鲇鱼王', 'price': '-', 'level': '２', 'icon_url': 'http://images.17173.com/cg/images/item/3253935509.gif', 'desc': '说明：会吃掉善玉菌的恶玉菌首领', 'ext_desc': ''}
{'name': '桃连蛇？', 'local': '库鲁克斯，桃花源(406.341)世外桃源-1(27.30)', 'r_local': '相关任务：仙人就职任务', 'price': '？', 'level': '２', 'icon_url': 'http://images.17173.com/cg/images/item/2342840664.gif', 'desc': '', 'ext_desc': ''}
{'name': '桃茂？', 'local': '库鲁克斯，桃花源(406.341)世外桃源-2(27.30)', 'r_local': '相关任务：仙人就职任务', 'price': '？', 'level': '２', 'icon_url': 'http://images.17173.com/cg/images/item/2846702525.gif', 'desc': '', 'ext_desc': ''}
{'name': '桃冠？', 'local': '库鲁克斯，桃花源(406.341)世外桃源-3(27.30)', 'r_local': '相关任务：仙人就职任务', 'price': '？', 'level': '２', 'icon_url': 'http://images.17173.com/cg/images/item/155535832.gif', 'desc': '', 'ext_desc': ''}
{'name': '腐烂的皮', 'local': '芙蕾雅，亚留特域(621.33)', 'r_local': '关任务：海贼的洞窟', 'price': '0', 'level': '３', 'icon_url': 'http://images.17173.com/cg/images/item/2810985373.gif', 'desc': '', 'ext_desc': ''}
{'name': '亚留特狮子的皮', 'local': '芙蕾雅，亚留特域(东621南33)', 'r_local': '关任务：海贼的洞窟', 'price': '0', 'level': '３', 'icon_url': 'http://images.17173.com/cg/images/item/2794818079.gif', 'desc': '', 'ext_desc': ''}
{'name': '海贼的宝箱', 'local': '海贼的森林全域', 'r_local': '相关任务：海贼的洞窟', 'price': '-', 'level': '３', 'icon_url': 'http://images.17173.com/cg/images/item/3084463706.gif', 'desc': '', 'ext_desc': ''}
{'name': '摩斯蜥蝪', 'local': '索奇亚岛 (528.326) 学乱射技能NPC的附近', 'r_local': '相关任务：魔族改造计划', 'price': '0', 'level': '４', 'icon_url': 'http://images.17173.com/cg/images/item/2845388026.gif', 'desc': '', 'ext_desc': ''}
{'name': '恶魔鱼', 'local': '索奇亚岛 (东282南404) 附近', 'r_local': '相关任务：魔族改造计划', 'price': '0', 'level': '４', 'icon_url': 'http://images.17173.com/cg/images/item/3921256289.gif', 'desc': '', 'ext_desc': ''}
{'name': '井底蛙', 'local': '洪恩大风洞 (东135南5) 附近', 'r_local': '相关任务：魔族改造计划', 'price': '0', 'level': '４', 'icon_url': 'http://images.17173.com/cg/images/item/226834840.gif', 'desc': '', 'ext_desc': ''}
{'name': '狐皮', 'local': '索奇亚岛，大风洞山顶（miss率极高）', 'r_local': '相关任务：风之洞窟', 'price': '-', 'level': '４', 'icon_url': 'http://images.17173.com/cg/images/item/2810985373.gif', 'desc': '', 'ext_desc': ''}
{'name': '海贼的宝箱', 'local': '海贼的森林全域', 'r_local': '相关任务：海贼的洞窟', 'price': '-', 'level': '４', 'icon_url': 'http://images.17173.com/cg/images/item/3084463706.gif', 'desc': '', 'ext_desc': ''}
{'name': '海贼的宝箱', 'local': '海贼的森林全域', 'r_local': '相关任务：海贼的洞窟', 'price': '-', 'level': '５', 'icon_url': 'http://images.17173.com/cg/images/item/3084463706.gif', 'desc': '', 'ext_desc': ''}
{'name': '花蜜结晶', 'local': '美洛平原(492.426)', 'r_local': '相关任务：穿越时空', 'price': '20个G', 'level': '５', 'icon_url': 'http://images.17173.com/cg/images/item/3913752633.gif', 'desc': '', 'ext_desc': ''}
{'name': '恋爱苹果', 'local': '莎莲娜，阿尼巴斯村域(267.558)附近', 'r_local': '相关任务：月亮俱乐部', 'price': '20个G', 'level': '５', 'icon_url': 'http://images.17173.com/cg/images/item/106293436.gif', 'desc': '', 'ext_desc': ''}
{'name': '钢骑之矿', 'local': '海贼的森林全域', 'r_local': '相关任务：海贼的洞窟', 'price': '5个2000G', 'level': '６', 'icon_url': 'http://images.17173.com/cg/images/item/943211530.gif', 'desc': '', 'ext_desc': ''}
{'name': '湿地毒蛇', 'local': '魔法大学北西地底湖地下２楼的小岛东(37南49)\u3000', 'r_local': '相关任务：生产系晋升任务Ⅲ', 'price': '10个30G', 'level': '８', 'icon_url': 'http://images.17173.com/cg/images/item/2340895190.gif', 'desc': '', 'ext_desc': ''}
{'name': '不明生物？', 'local': '芙蕾雅全域.随机取得', 'r_local': '随机取得‘不明生物？’1个1G鉴定后为土龙1个300G', 'price': '1个300G', 'level': '10', 'icon_url': 'http://images.17173.com/cg/images/item/2844199995.gif', 'desc': '', 'ext_desc': ''}
